Index,Name,Description,Cat,Prc,Pow,Dur,Mag,Cd,Cd I
1,Screw Nail,"Rush forward, carving through foes with claws on both hands. Lowers hit enemy Gunpla's Shot Defense by 14%.",4,B-,D,,,21,3
2,Burning Fist,Charge through enemies in front of you with your fist. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,D,C-,,,21,6
3,Head-Mounted Vulcan,Fire the Vulcan in your head at foes straight ahead. Chance of piercing super armor with multiple hits. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
4,Double Saber Rush,Cleave through enemies with sabers in each hand.,3,D,B-,,,21,6
5,Crimson Stinger,Unleash a storm of blows from your lance. Raise your Melee Defense by 19%.,3,D,A-,,,21,6
6,Last Shooting,Stand firm and shoot down foes with your arm rifle. Squad recovers 48% of maximum Armor. Raise Shot Attack of your Squad by 29%.,1,D,A,,,79,20
7,Archer Stance α,Raise your Shot Attack by 39%.,5,,,51,,33,7
8,120mm Low-Recoil Cannon,Fire explosive projectiles from the cannon on your shoulder.,2,D,C-,,,21,3
9,Quadruple Bop Missile Launcher,Launch missiles stored in your forearm. You can move while firing.,2,D,C-,,7,60,0
10,240mm Cannons,Fire explosive projectiles from the cannon on your shoulder.,2,D,C-,,,21,6
11,Hand Grenade,Throw a hand grenade mounted on your side armor.,2,D,C,,,21,6
12,Myriad Snipe,"Ready your long rifle, then bathe foes in powerful beams.",1,B-,D,,,60,15
13,Block Stance α,Raise your Melee Defense by 39%.,5,,,51,,33,7
14,Beam Saber Combo,Unleash a combo with the saber in your right hard.,3,D,C-,,,19,5
15,Protection α,Raise your Physical Resist by 69%.,5,,,51,,33,7
16,Recovery Tool α,Recover 48% of your maximum Armor.,8,,,,,21,6
17,Wind Edge,Mow down foes nearby with your axe.,4,D,C-,,,21,6
18,Beam Coat β,Raise Ally Beam Resist by 49%.,5,,,51,,33,7
19,Fearless Charge,Charge ferociously toward the enemy.,4,D,B+,,,30,8
20,Chest-Mounted Scattering Beam Cannon,Bathe foes in low-output beams from your chest beam cannon. You can move freely while shooting. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,1,D-,D,,4,60,0
21,Heat Saber Combo,Unleash a combo with the saber in your right hard.,4,D,C-,,,19,5
22,Shock Bringer α,Your attacks stun large foes more easily for a set period.,5,,,51,,33,7
23,5-Barrel Finger Vulcan,Launch Vulcan shots from your forearm. You can move while firing.,2,B-,D,,11,60,0
24,Block Hack α,Reduce target Melee Defense by 39%.,7,,,51,,33,7
25,Arm-Mounted Mega Particle Cannon,Launch rapid-fire beams from your forearm. You can move while firing.,1,B-,D,,11,60,0
26,240mm 6-Barrel Rocket Launcher,Fire the tracking rocket cannon stowed on your head.,2,D,C-,,,21,6
27,Planet Breaker,Bring an energized fist down to pulverize the enemy. Lowers hit enemy Gunpla's Melee Attack by 14%. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,D,C,,,19,5
28,Combat Stance α,Raise your Melee Attack by 39%.,5,,,51,,33,7
29,Volcanic Shot,Jump up high and hit foes with a flying kick. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,B-,D,,,21,3
30,Needle Missile,Launch missiles stowed on your shield.,2,B-,D,,,21,0
31,Defense Hack α,Reduce target Melee and Shot Defense by 39%.,7,,,37,,33,7
32,Fearless Hurl,Charge mercilessly toward the enemy. Lowers hit enemy Gunpla's Beam Resist by 19%. Lowers hit enemy Gunpla's Physical Resist by 19%.,4,B,D,,,21,3
33,Charge Axe,Jump and bring a charged axe down on the enemy's head. Raise your Melee Attack by 14%.,4,D,B-,,,21,6
34,Beam Cannon,Fire a beam in a straight line from the cannon on your back. You can move while firing.,1,D,C-,,7,60,0
35,Light Up,Activate the light equipped to your chest. You become easier to target for a set period of time.,5,,,27,,60,12
36,Claw,Grab a foe with a huge engineering claw and cut through them. Lowers hit enemy Gunpla's Physical Resist by 29%.,4,B-,D,,,33,4
37,Beam Hack α,Reduce target Beam Resist by 69%.,7,,,51,,33,7
38,Hate Up,You become easier to target for a set period of time.,5,,,51,,33,7
39,Cross Wave,Slash to create shockwaves that cleave through enemies.,3,D,B,,,21,6
40,Dual Wave,Hold bazookas in both hands and fire high-power rounds.,2,B+,D,,,21,3
41,Missile Launcher,Shoot firearms stored in your shield. You can move while firing.,2,D,C,,7,60,0
